,NU00295.csv,NU00429.csv,NU00431.csv,NU00468.csv,NU00759.csv,NU00826.csv,NU00866.csv,NU00908.csv,NU01094.csv,NU01115.csv,NU01405.csv,NU01420.csv,NU01482.csv,NU01713.csv,NU01798.csv,NU01929.csv,NU02064.csv,NU02359.csv,NU02514.csv,NU02738.csv
CD11c+P2RY12+,29.79084279650256,0.5554373387021972,0.37998897642901147,0.32723620812222837,0.6679144188777569,6.999134159330008,0.402003202398392,8.50381807501888,6.578065910318746,34.39745437197842,20.186016489158817,5.03834300867197,4.881859454074065,0.18276294570865437,1.0891964849807594,4.335490638912129,9.984466515590643,8.698015765153574,9.894267338364429,3.4330902137894634
CD68+CD163+CD11c+,0.13968000580488338,1.2811069462404312,9.16253282754596,0.30353979305130835,8.209475577085398,1.9052325893233417,3.5660750178857357,0.05538306620793824,1.4703403565640194,0.04327961087695311,0.46210720887245843,2.2620583387085214,0.022077054581271866,1.1204682553903123,0.06019183274941129,0.07564296520423601,0.11566057655452522,9.572347558213282,0.0896039505386193,0.0051911646377864875
CD68+CD163+pSTAT3+,0.015419221420019592,0.03655628850004637,0.07911033297668839,0.003385202152988569,0.04403831333259936,0.22450558965282086,0.06813613599972745,0.011747923135017203,0.18195569962182603,0.023607060478338063,0.011736056098348149,0.21411166057478678,0.003962548258177002,0.035835871707579285,0.004824536212739074,0.027309494600956268,0.006052006912736785,0.4160248859895503,0.0,0.0008651941062977478
CD68+CD163+CD206+pSTAT3+,0.010884156296484418,0.008729859940309583,0.04085205719288007,0.003385202152988569,0.03302873499944952,0.13868775333501904,0.05280550539978878,0.0067130989342955435,0.15170178282009725,0.016229854078857416,0.0058680280491740745,0.18902744929405862,0.003962548258177002,0.03105775547990205,0.0039055769341221065,0.008669680825700403,0.004707116487684166,0.34505149346138747,0.0,0.0
CD163+CD206+pSTAT3+,0.021768312592968835,0.009002668063444257,0.07197743410174108,0.011284007176628565,0.09541634555396528,1.254319625466443,0.13456886859946174,0.010069648401443317,1.1945975148568342,0.054591327356156766,0.03227415427045741,1.5623880169139253,0.01018940980674086,0.07883891775667443,0.009649072425478147,0.09926784545426962,0.0215182468008419,1.8324725921899068,0.003982397801716414,0.009517135169275227
CD68+CD11c+pSTAT3+,0.2131480608061532,0.06165463582843642,0.07846188762442045,0.02256801435325713,0.06605746999889904,0.12604494709177144,0.054508908799781965,0.020139296802886633,0.09681253376553214,0.030000639357887958,0.007335035061467594,0.15229699706156383,0.03226646438801272,0.035835871707579285,0.00712193440928149,0.032944787137661524,0.03294981541378916,0.42433028298752684,0.0,0.0008651941062977478
CD11c+CD205+pSTAT3+,0.09977143271777383,0.012549173664195024,0.07197743410174108,0.002256801435325713,0.029358875555066243,0.14673317548981296,0.033216366299867135,0.005034824200721658,0.06266882766072393,0.0560667686360529,0.0014670070122935186,0.12004586827205618,0.01981274129088501,0.0023890581138386194,0.04732640284877376,0.0366294014885842,0.0995218914538938,0.4907734589713388,0.007964795603432828,0.0025955823188932438
CD11c+CD103+pSTAT3+,0.05532779450712912,0.014458830526137747,0.04668806536329151,0.006770404305977138,0.04770817277698264,0.2325510118076148,0.0740980478997036,0.01678274733573886,0.08557536466774716,0.14459324542982063,0.014670070122935188,0.09496165699132804,0.018680584645691577,0.005972645284596547,0.02182528286715295,0.023841622270676106,0.04236404838915749,0.5572166349551508,0.003982397801716414,0.009517135169275227
P2RY12+pSTAT3+,4.202191343467692,0.03464663163810366,0.05122718282916707,0.015797610047279993,0.04770817277698264,1.5255652866852094,0.047695295199809216,0.8189980699840563,0.8203133441383036,1.6303626142852226,0.11589355397118799,0.4255357270837813,0.29549288439548493,0.016723406796870333,0.043420825914651656,0.1965850127227566,1.1384497448070419,0.7203044305517803,0.06371836482746263,0.08565421652347704
CD11c+P2RY12+pSTAT3+,3.8130827558683746,0.020733417358235258,0.0447427293064877,0.012412407894291419,0.04403831333259936,0.6149001218306783,0.040881681599836475,0.33565494671477725,0.14305780659103187,0.8542805010598586,0.06601531555320835,0.38343008671970186,0.2145436842641548,0.008361703398435167,0.04181264717707196,0.13828140916992143,0.8089515906691501,0.712754069644529,0.045797574719738755,0.07181111082271308
