,NU00295,NU00429,NU00431,NU00468,NU00759,NU00826,NU00866,NU00908,NU01094,NU01115,NU01405,NU01420,NU01482,NU01713,NU01798,NU01929,NU02064,NU02359,NU02514,NU02738
CD8+FOXP3+ 300-400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0
CD8+FOXP3+ 400-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
CD8+NFAT1+ 0-100,1,0,0,0,0,6,0,0,3,3,0,0,0,0,3,1,0,0,0,0
CD8+NFAT1+ 100-200,0,1,0,0,2,4,0,0,0,0,0,0,0,0,1,1,1,3,0,0
CD8+NFAT1+ 200-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
CD8+NFAT1+ 300-400,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,3,2,0,0,0
CD8+NFAT1+ 400-500,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
CD8+NFAT2+ 0-100,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
CD8+NFAT2+ 100-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
CD8+NFAT2+ 200-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
